order_item_sk,order_id,product_id,product_category_name,unit_price,discount_amount,refund_amount,net_revenue,order_purchase_timestamp,purchase_date,purchase_month,geolocation_state
14601,7206b86ea789983f7a273ea7fa0bc2a8,4f27f0b527bb700ed8541270356a38f3,esporte_lazer,265.00,31.80,0.00,233.20,2018-03-26 17:12:00.0000000,2018-03-26,2018-03-01,SP
27059,d22e9fa5731b9e30e8b27afcdc2f8563,f4cd1164757f2f82e7f949e9ba129664,casa_conforto,29.50,3.54,0.00,25.96,2018-08-04 23:25:00.0000000,2018-08-04,2018-08-01,SP
30659,ee64d42b8cf066f35eac1cf57de1aa85,467c6bb41a33d10e03816f139e7baf85,esporte_lazer,10.99,0.00,0.00,10.99,2018-06-04 16:44:00.0000000,2018-06-04,2018-06-01,SP
26975,d17dc4a904426827ca80f2ccb3a6be56,626fcce994b573d0bd54d6447d5badd3,NULL,59.90,7.19,0.00,52.71,2017-05-14 20:28:00.0000000,2017-05-14,2017-05-01,SP
4833,25f4376934e13d3508486352e11a5db0,f28b94930035f99d65318418b424750c,cama_mesa_banho,12.99,1.62,0.00,11.37,2018-05-17 16:59:00.0000000,2018-05-17,2018-05-01,SP
9154,47aa4816b27ba60ec948cd019cc1afc1,77ccbcf251886c8b83676fc918e7336c,pet_shop,117.90,14.15,0.00,103.75,2018-06-26 13:42:00.0000000,2018-06-26,2018-06-01,SP
31303,f346ad4ee8f630e5e4ddaf862a34e6dd,8158477dcd2a668fb6faf6aa4131b0f4,bebes,75.00,0.00,0.00,75.00,2018-08-05 13:09:00.0000000,2018-08-05,2018-08-01,SP
26353,ccbabeb0b02433bd0fcbac46e70339f2,ad88641611c35ebd59ecda07a9f17099,NULL,92.89,11.15,0.00,81.74,2018-02-19 20:31:00.0000000,2018-02-19,2018-02-01,SP
13414,688052146432ef8253587b930b01a06d,6a33f85f66191cc5b645b5f775ca93d9,esporte_lazer,159.00,19.08,0.00,139.92,2018-04-22 08:48:00.0000000,2018-04-22,2018-04-01,SP
31190,f271576bed568e896f99eb710cd3a6f8,83a6fc0d9871efceb01cb3c20c510017,livros_interesse_geral,107.00,0.00,0.00,107.00,2018-01-07 21:44:00.0000000,2018-01-07,2018-01-01,SP
13399,686541986ecfb7d9296eb67719973bf0,db1974a41d276776c3fe1e917aa1117e,brinquedos,25.00,3.25,0.00,21.75,2018-02-10 13:26:00.0000000,2018-02-10,2018-02-01,SP
23209,b52cc4919de82b4d696a4380d10804a3,8650c4bacaf0a2cd9ce38bd72004c276,beleza_saude,73.90,8.87,0.00,65.03,2018-06-13 13:47:00.0000000,2018-06-13,2018-06-01,SP
21618,a910f58086d58b3ae6f37aa712d377b9,a40675a9c6ef2410e3420483a1f8c81f,relogios_presentes,109.00,13.08,0.00,95.92,2017-09-15 09:19:00.0000000,2017-09-15,2017-09-01,SP
12698,634e8f4c0f6744a626f77f39770ac6aa,bdf5efab9b8b85e6a49603007646f763,livros_tecnicos,209.99,25.20,0.00,184.79,2017-08-09 18:32:00.0000000,2017-08-09,2017-08-01,SP
14000,6d25592267349b322799e2beb687871e,e53439e32b15b04bee8c938b0b85b605,relogios_presentes,28.99,3.48,0.00,25.51,2018-08-26 22:04:00.0000000,2018-08-26,2018-08-01,SP
7644,3bc77ce8be27211bac313c2daa402d1a,e16c02dd52598b26d3402ef8ca15448d,fashion_bolsas_e_acessorios,32.64,3.92,0.00,28.72,2017-04-06 22:39:00.0000000,2017-04-06,2017-04-01,SP
2215,10c320f977c6a18f91b2d14be13128c6,b2c4be88b59f29df2e70ade6bbd04ba0,telefonia,45.00,5.18,0.00,39.82,2017-05-09 20:48:00.0000000,2017-05-09,2017-05-01,SP
1877,0e782c3705510e717d28907746cbda82,0ac2a75d9c1e9688df3a7730a4ffad14,informatica_acessorios,28.90,3.32,0.00,25.58,2018-05-01 08:12:00.0000000,2018-05-01,2018-05-01,SP
27287,d3d6788577c9592da441752e8a1dd5e3,7cf14faf0bbe9357dbd24b4a1de69f2d,esporte_lazer,999.00,119.88,0.00,879.12,2017-09-19 22:17:00.0000000,2017-09-19,2017-09-01,SP
31048,f169bd689fb8b32ccd62df9050aebc0b,f9cbe8bae385034b464b9e22491ff68a,utilidades_domesticas,85.00,0.00,0.00,85.00,2018-04-22 23:23:00.0000000,2018-04-22,2018-04-01,SP
15346,77e9941864fc840be8e4b1ba5347c0f7,24dd446745b812ef3347d7ae00f5541f,eletroportateis,37.95,4.55,0.00,33.40,2018-08-03 08:59:00.0000000,2018-08-03,2018-08-01,SP
31839,f7959f8385f34c4f645327465a1c9fc4,1ab21e6620cb6346784529bff0a0c43b,ferramentas_jardim,99.90,0.00,0.00,99.90,2017-03-30 07:50:00.0000000,2017-03-30,2017-03-01,SP
29303,e346cd9299371b18c0b28e8e29a5e376,d529c23aaa143a69fea24ed9c77a1675,utilidades_domesticas,45.00,0.00,0.00,45.00,2017-05-17 08:36:00.0000000,2017-05-17,2017-05-01,SP
24073,bb7c5cf4dff9994daeab7c8ee9d287aa,2c42bf0cba650bd08bfeac2412b06ef6,cama_mesa_banho,99.99,12.50,0.00,87.49,2018-03-01 22:14:00.0000000,2018-03-01,2018-03-01,SP
13185,66d03fb3c4b0f80b5db04ef9c260336d,47a83ac845f953b889154d9963dbc1f8,moveis_decoracao,63.49,7.94,0.00,55.55,2018-02-06 21:09:00.0000000,2018-02-06,2018-02-01,SP
29102,e1da8361c76cab67aa3588a1fbf1af54,cc23781d58ff64842afc129409521776,moveis_decoracao,149.00,0.00,0.00,149.00,2017-07-01 15:42:00.0000000,2017-07-01,2017-07-01,SP
25604,c75acba615d2db29345327974641467d,081c9dacbe5aed5910bef759117070a5,moveis_decoracao,110.00,13.75,0.00,96.25,2018-07-06 23:36:00.0000000,2018-07-06,2018-07-01,SP
223,01a75ac3dd000b7628a684be97c29234,106ebc8f9982193679d02a4584947b89,automotivo,388.00,46.56,0.00,341.44,2018-01-23 10:32:00.0000000,2018-01-23,2018-01-01,SP
30617,ee0c5c649e17808bc4a363d3a80ebf85,1fd3bb291e0dba9d6081eb914303993b,utilidades_domesticas,1449.50,0.00,0.00,1449.50,2018-01-30 07:51:00.0000000,2018-01-30,2018-01-01,SP
31257,f2fa3795760c35b8c05fa8e2f09d5143,7d1f165a4a03757ada8c56e9aba9fb41,moveis_decoracao,24.90,0.00,0.00,24.90,2018-03-31 14:20:00.0000000,2018-03-31,2018-03-01,SP
29328,e37797aedc7cd4ef82278fbc169eecaf,d83ccbce75276ea1da5ca97cc4d800d9,esporte_lazer,31.90,0.00,0.00,31.90,2018-05-08 22:12:00.0000000,2018-05-08,2018-05-01,SP
6799,35660aec0cc42b6257e24281ee0e6255,dd2a86c701f0442fa851c5391a5b81fe,cama_mesa_banho,27.99,3.50,0.00,24.49,2017-03-30 14:46:00.0000000,2017-03-30,2017-03-01,SP
10448,5164933efe0cd14f31424b9badf81f19,a573ca6c2020041316ed95965ae0887f,utilidades_domesticas,49.90,5.99,0.00,43.91,2018-04-25 22:18:00.0000000,2018-04-25,2018-04-01,SP
2818,15bed8e2fec7fdbadb186b57c46c92f2,112c98970afb0e6dd81c05ddd447416d,eletrodomesticos,39.99,4.80,0.00,35.19,2017-09-03 14:22:00.0000000,2017-09-03,2017-09-01,SP
12981,65312c6e4ce03c0fb633a4ac541949d8,653e9d44d27743337fc1868e4346d661,moveis_decoracao,159.90,19.99,0.00,139.91,2018-07-22 15:19:00.0000000,2018-07-22,2018-07-01,SP
14877,741fd1b80f015f170a7f458cf86769b8,612c7f49d1026f7beded75464b574f81,beleza_saude,189.90,22.79,0.00,167.11,2017-12-02 14:28:00.0000000,2017-12-02,2017-12-01,SP
22714,b16cec67cb3f5a4bb31abe8988b43d19,81fe5f62dd11842a1e35be193402e289,brinquedos,599.00,77.87,0.00,521.13,2018-03-26 09:14:00.0000000,2018-03-26,2018-03-01,SP
18217,8eeda294fab8a5ed70259afb59a10ff8,1ac8f5283525f67f04345f07c167ba80,informatica_acessorios,324.30,37.29,0.00,287.01,2018-02-06 18:25:00.0000000,2018-02-06,2018-02-01,SP
17513,89165e6d4c28047da0adf13ac8b3e1b3,c744b9538213403285c97c9f7a53776f,beleza_saude,51.92,6.23,0.00,45.69,2018-07-18 13:39:00.0000000,2018-07-18,2018-07-01,SP
31322,f376081d7c5f1767fbc7fae2d19ca32e,47dbce97622eb7520b80d26ab613414e,automotivo,129.90,0.00,0.00,129.90,2017-03-28 16:03:00.0000000,2017-03-28,2017-03-01,SP
31427,f4471dae8c482f51aa1826cd9f5d4433,259318f8df188cf39e275a77f0f6f02d,beleza_saude,56.99,0.00,0.00,56.99,2018-07-05 18:40:00.0000000,2018-07-05,2018-07-01,SP
18380,90349f264a3d6a2525a34598d09dda6b,365ddcacd1174891f2b0b6820a7a4fae,moveis_cozinha_area_de_servico_jantar_e_jardim,34.90,4.19,0.00,30.71,2018-05-11 16:35:00.0000000,2018-05-11,2018-05-01,SP
2696,14e6e050a57912543937e93051cc7b2c,a87ee1e0d2b6d025ecfb1b8322659853,relogios_presentes,16.50,1.98,0.00,14.52,2018-06-24 19:01:00.0000000,2018-06-24,2018-06-01,SP
26658,cefa8ee1540139ac77fa0c1b4ff1f04b,59003ff3120537147fec3f06e92cd920,cool_stuff,99.00,11.88,0.00,87.12,2018-07-02 12:54:00.0000000,2018-07-02,2018-07-01,SP
4894,265f4e28ef8cf69f8445e2951bbe7343,08f457ff8eec8dfffecc0489179e7db5,construcao_ferramentas_construcao,92.86,11.14,0.00,81.72,2017-03-06 00:14:00.0000000,2017-03-06,2017-03-01,SP
25737,c8627adf430caff83161acbeb344d8f5,41b9fdf240b6c703cecd3d4e40f8c0e7,eletroportateis,299.00,35.88,0.00,263.12,2018-08-09 16:23:00.0000000,2018-08-09,2018-08-01,SP
21466,a7cd6af6e0519313887b3c3a120f20ca,612da1ab2099d81e7da8a5769663c1ea,esporte_lazer,155.60,18.67,0.00,136.93,2018-04-26 11:59:00.0000000,2018-04-26,2018-04-01,SP
1794,0dad6beca7ed0e352668498c29089900,8aba0cf5748dc396ec71bfdb0624a2fe,esporte_lazer,97.65,11.72,0.00,85.93,2017-12-02 14:08:00.0000000,2017-12-02,2017-12-01,SP
10921,5561adcb0fd46da4cad3048fa4e7fc00,fcf4c9a897ae906e5a467ebf4589dffd,bebes,199.90,25.99,0.00,173.91,2018-06-25 15:36:00.0000000,2018-06-25,2018-06-01,SP
23418,b6b3633f97c686d8e188ac6fa29ff20d,4f45fa1109c51a1b799a8fe7a3f9a854,fashion_bolsas_e_acessorios,19.50,2.34,0.00,17.16,2018-07-27 12:45:00.0000000,2018-07-27,2018-07-01,SP
8666,43d88b0e949865904334dd5b3ca63f50,3aa87ff048f23ae9ac589dd73c21d98c,NULL,649.90,77.99,0.00,571.91,2018-03-15 16:59:00.0000000,2018-03-15,2018-03-01,SP
12069,5e99f3c445038a0709b2aea8e34ed593,6d3dc397c315b4afa15c2cedda354740,cama_mesa_banho,89.90,11.24,0.00,78.66,2017-06-25 19:30:00.0000000,2017-06-25,2017-06-01,SP
31638,f61b61c2cbb4192ccaf9c2c76a4cc971,740c2a837de513cc020ad90c1a6cb779,utilidades_domesticas,69.90,0.00,0.00,69.90,2018-02-28 21:27:00.0000000,2018-02-28,2018-02-01,SP
11357,58d4c4747ee059eeeb865b349b41f53a,ff50a7795bf14586aeb06610fae49095,cama_mesa_banho,82.00,10.25,0.00,71.75,2018-07-21 12:49:00.0000000,2018-07-21,2018-07-01,SP
27040,d1f54c6a2a7015c5687439d6d4e971ba,e68a066cb80e14f049aa01ede58bf0f6,fashion_bolsas_e_acessorios,24.00,2.88,0.00,21.12,2017-04-27 11:08:00.0000000,2017-04-27,2017-04-01,SP
7106,37d6c8f1b209eab8d1b6522a1a3e4d88,9c4eeb196595cc056eb99a83f6ee3034,cama_mesa_banho,209.00,26.13,0.00,182.87,2017-12-06 15:26:00.0000000,2017-12-06,2017-12-01,SP
25861,c93e4c73cba512f76817291e0de8bec4,5a303a4e6cbf8550e80d43a01997acf2,esporte_lazer,129.00,15.48,0.00,113.52,2017-09-12 16:32:00.0000000,2017-09-12,2017-09-01,SP
8336,412fccb2b44a99b36714bca3fef8ad7b,e751ef808163a46290ab3b4cbd70b6ad,moveis_decoracao,17.50,2.19,0.00,15.31,2018-07-22 22:30:00.0000000,2018-07-22,2018-07-01,SP
23339,b616f638cd86d92c7cbd06cf7484ee34,107bf5aa8cee35a9fec5e0bf1fd5e1cd,sinalizacao_e_seguranca,16.77,2.01,0.00,14.76,2018-05-23 16:37:00.0000000,2018-05-23,2018-05-01,SP
27374,d493148aa5f8d08914d29ec0524e1196,c347971e06135135a97fd33d9db5b74c,beleza_saude,40.55,4.87,0.00,35.68,2018-01-31 13:21:00.0000000,2018-01-31,2018-01-01,SP
23673,b88d7ae9bd78eac18e8b6ceb04695fb8,fa14bd9c7f14dcb70cde3d73a1dff285,bebes,79.90,10.39,0.00,69.51,2017-07-17 21:55:00.0000000,2017-07-17,2017-07-01,SP
18426,908e767e28908dc5ec61fe0ef8ef03f9,20a67c4242225878d0a014685ab3edaa,malas_acessorios,149.90,17.99,0.00,131.91,2018-05-09 14:32:00.0000000,2018-05-09,2018-05-01,SP
14228,6efcd938092fe73904610b4bd39b2e7f,e1a91fda8eae059cb6b8150856ef23fd,cama_mesa_banho,99.00,12.38,0.00,86.62,2017-12-11 21:43:00.0000000,2017-12-11,2017-12-01,SP
4304,21c71f62d2554e1ad6c8ba9dc7af2c62,89c5f56df4c7712aa9b0aefb21743989,esporte_lazer,109.90,13.19,0.00,96.71,2017-12-21 04:59:00.0000000,2017-12-21,2017-12-01,SP
24979,c263211bd219538f7c031591e87ef0d7,49cd59957f1c81427ca0b2edf5696969,bebes,113.89,14.81,0.00,99.08,2017-11-24 16:56:00.0000000,2017-11-24,2017-11-01,SP
10352,507240e305d631056d7ced5d5ab0eb9a,5c78cd7b50ea28c57bfe6cd09700dcb8,beleza_saude,49.99,6.00,0.00,43.99,2018-03-29 15:08:00.0000000,2018-03-29,2018-03-01,SP
19025,955e2b622db1a1f4031ef035ce9a861f,813a9ef2db7efff209973a335d043c0f,moveis_decoracao,47.99,6.00,0.00,41.99,2018-01-16 22:34:00.0000000,2018-01-16,2018-01-01,SP
32626,fd9b8ed51e5ffedf7a56bea36cc5b6f9,72d9d9e20be430ad3b1ba561bb0cf71a,brinquedos,105.00,0.00,0.00,105.00,2018-03-30 23:11:00.0000000,2018-03-30,2018-03-01,SP
8916,45ac1d4b219993bf334080eac1585166,cc9c93a7dc6ba4b5913c8f3fba62612e,esporte_lazer,137.90,16.55,0.00,121.35,2018-01-10 09:04:00.0000000,2018-01-10,2018-01-01,SP
12738,638f79643fd5681c6e6c6ef1f1ab700d,5938705c2fd05674b76e26fd47b7eab4,construcao_ferramentas_construcao,17.90,2.15,15.75,0.00,2018-04-10 14:58:00.0000000,2018-04-10,2018-04-01,SP
341,02aec12849744e266394182861265286,bbdb0183a86f02d57038f08dbea44879,brinquedos,39.99,5.20,0.00,34.79,2017-08-31 17:46:00.0000000,2017-08-31,2017-08-01,SP
7483,3a830ecb5338f0ff69822d388b64822e,3d250bb3d2b89c9bea15327aed52d8ca,perfumaria,56.97,7.41,0.00,49.56,2018-01-24 11:40:00.0000000,2018-01-24,2018-01-01,SP
25284,c4d2f075fc3bf3a06d1e68e113c35cbd,72c6ce77ce1addb023ae0e0c483b4193,cama_mesa_banho,199.90,24.99,0.00,174.91,2018-08-01 14:58:00.0000000,2018-08-01,2018-08-01,SP
10623,52e5445828db681d83dccb33a15ecac4,6510b9320992123556a40f98806e512a,papelaria,24.99,3.00,0.00,21.99,2017-11-24 17:37:00.0000000,2017-11-24,2017-11-01,SP
30321,ebc8d4b1397747291b758772e9d87984,66e9fb73e349cba44b29951e558a6780,utilidades_domesticas,79.90,0.00,0.00,79.90,2018-04-10 16:22:00.0000000,2018-04-10,2018-04-01,SP
20366,9f882c1f904b7dd156572ada58d7a7ae,08c3e65af1719834cab72d27dc6b506b,bebes,169.00,21.97,0.00,147.03,2017-11-13 10:07:00.0000000,2017-11-13,2017-11-01,SP
17419,884cb4ce4a06390d35206de06f785d13,a4d286543a67e29c930c99cbd7a55a8f,utilidades_domesticas,99.90,11.99,0.00,87.91,2018-04-03 20:44:00.0000000,2018-04-03,2018-04-01,SP
28024,d9cfa4b0f995deb2fa9758d5534e1d13,f6eda47c88d786adf6f3e3f016833927,pet_shop,289.99,34.80,0.00,255.19,2018-06-05 11:36:00.0000000,2018-06-05,2018-06-01,SP
7579,3b4ad687e7e5190db827e1ae5a8989dd,d4bac0bfef9cb063e55c79bb8cdc9034,construcao_ferramentas_construcao,28.99,3.48,0.00,25.51,2018-06-28 12:52:00.0000000,2018-06-28,2018-06-01,SP
519,04040ee654b248cdc512a68ecc83e4cc,ecbd7c0c31f1779002f5a78b2a1873ae,bebes,69.90,9.09,0.00,60.81,2018-03-27 22:14:00.0000000,2018-03-27,2018-03-01,SP
24278,bd2623f3663c5daa3f89e6b527fd49da,5066fb9bf2b3db42c59f2f7732387249,NULL,176.99,21.24,0.00,155.75,2017-01-21 17:08:00.0000000,2017-01-21,2017-01-01,SP
6640,343076b69aa1f03ee4beb49cf6baee58,9d6580f17a0cba74324ce82874fbbe13,telefonia,160.00,18.40,0.00,141.60,2017-09-26 11:08:00.0000000,2017-09-26,2017-09-01,SP
27710,d74d2985a4c187334dc59722076a2e5f,1b3634881407099b50ee5bca1026ef25,utilidades_domesticas,69.90,8.39,0.00,61.51,2018-08-09 20:36:00.0000000,2018-08-09,2018-08-01,SP
12725,6379750dac6a8a1e11378e34278ae8df,f25795cfffe214cb33e87d996d64a222,telefonia,139.90,16.09,0.00,123.81,2017-09-11 11:50:00.0000000,2017-09-11,2017-09-01,SP
15736,7ac1f3de2cdc809de6aa1e6719451f53,c56bf3984c2d59f53233c4bd82e8a5d1,moveis_decoracao,35.00,4.38,30.62,0.00,2018-06-12 09:52:00.0000000,2018-06-12,2018-06-01,SP
1295,09d3f9f1be63c067456cc619076685a1,3a7553224e54d216c4a65c85f2d04deb,casa_conforto,61.90,7.43,0.00,54.47,2017-08-23 15:40:00.0000000,2017-08-23,2017-08-01,SP
2920,16c24987724018f73b746aacfbb5f8e8,d901103375ad57cd89a207d15cf91396,automotivo,189.00,22.68,0.00,166.32,2017-05-20 02:48:00.0000000,2017-05-20,2017-05-01,SP
15104,75f433fd5ff62807235cb08b520c3c49,6410668313e664e438837bf86363fcb9,fashion_bolsas_e_acessorios,92.90,11.15,0.00,81.75,2017-07-28 11:25:00.0000000,2017-07-28,2017-07-01,SP
24123,bbd64b019b5ea3ed83a114cc665328ff,ca9c04665b3deab07935392e7432cdbe,moveis_decoracao,249.00,31.13,217.87,0.00,2018-03-07 15:37:00.0000000,2018-03-07,2018-03-01,SP
10054,4e2160ff7a61b2bf4fbd2e527ea924d3,303719bf7adc0897358c3dcc3c7a6190,brinquedos,40.14,5.22,34.92,0.00,2018-02-09 13:48:00.0000000,2018-02-09,2018-02-01,SP
31320,f373335aac9a659de916f7170b8bc07a,368645a47a15770520ad12d9ea77c2f2,moveis_decoracao,298.90,0.00,0.00,298.90,2018-03-17 15:32:00.0000000,2018-03-17,2018-03-01,SP
7817,3d087f98b006ae162b5e3b56e7bfdb4a,861f715fc920b62d0bbd75b605a9827d,brinquedos,36.75,4.78,0.00,31.97,2018-01-05 11:04:00.0000000,2018-01-05,2018-01-01,SP
27791,d7f4e2f755cf2f40aa7c39804cfe01c4,902ef94ec6b84c1abdc30ac2877a0e95,ferramentas_jardim,249.90,29.99,0.00,219.91,2017-11-26 12:50:00.0000000,2017-11-26,2017-11-01,SP
14659,727412faf7aef5ef3c7e0f03350d80c7,ebc76392dcafcf451f626382c71680cf,cama_mesa_banho,95.00,11.88,0.00,83.12,2017-04-19 13:45:00.0000000,2017-04-19,2017-04-01,SP
9940,4d4ef6cd8147028ffd8c18dc0f6e3050,a928a2cfd4d897610150b956e89a4e56,cama_mesa_banho,157.77,19.72,0.00,138.05,2018-08-24 19:01:00.0000000,2018-08-24,2018-08-01,SP
13063,65f78a0e1f8b80c4f6d8d5c6073b8601,e899d44e1fbd1131a4c94b9f7bb1ff2a,brinquedos,19.90,2.59,0.00,17.31,2018-07-31 16:16:00.0000000,2018-07-31,2018-07-01,SP
23577,b7e4aca3e798d20643faacb681272a9c,18da4a6d2c9b127b43ac8616ab151aa8,NULL,1377.50,165.30,0.00,1212.20,2017-10-11 17:31:00.0000000,2017-10-11,2017-10-01,SP
8105,3f596c69e8e78788530d898331118c7c,7e5fe07db814cff1e50a7561a10e37ef,cama_mesa_banho,105.00,13.13,0.00,91.87,2017-11-25 16:23:00.0000000,2017-11-25,2017-11-01,SP
1585,0c228d925a49aa5e3b35febb948f4f72,ea8062a20ca055f459f3a99eccdec4b5,NULL,81.00,9.72,0.00,71.28,2018-07-24 12:45:00.0000000,2018-07-24,2018-07-01,SP
9076,4709741e829775567b92abc42437b461,04869307f7e7dc5b07f1d83406ade1e5,brinquedos,109.99,14.30,0.00,95.69,2018-03-29 22:46:00.0000000,2018-03-29,2018-03-01,SP
419,0341b60065c49221a27293793f11b117,fb14dbd8b5d4195d70df81f35b593889,eletronicos,39.90,4.79,0.00,35.11,2018-04-22 14:26:00.0000000,2018-04-22,2018-04-01,SP
25036,c2d07d9078b700b9198a126183867c16,1f2bcc5a21172c008ccbcc28afb8bced,moveis_decoracao,45.90,5.74,0.00,40.16,2018-08-14 17:48:00.0000000,2018-08-14,2018-08-01,SP
4817,25d47ee9a060a0359e8a10a858fc39a1,6a2909ac21d16b721e4795e7e8ff3e68,esporte_lazer,15.90,1.91,0.00,13.99,2017-12-19 13:02:00.0000000,2017-12-19,2017-12-01,SP
4975,2728209b1b0553533bce4afc52716b60,79fb349afbae7595d2bc47368a7e4558,relogios_presentes,60.00,7.20,0.00,52.80,2017-10-24 14:23:00.0000000,2017-10-24,2017-10-01,SP
28234,db5fdbee9ab29d55f24c329246e6fe51,dfb1a850d59b126de9fa01dcde19b43d,brinquedos,29.00,3.77,0.00,25.23,2017-06-17 13:16:00.0000000,2017-06-17,2017-06-01,SP
13770,6b7c5703bdc03335b37020877a06625e,1ebde342c905182ffc07333fc569c590,cama_mesa_banho,299.99,37.50,0.00,262.49,2017-11-24 01:34:00.0000000,2017-11-24,2017-11-01,SP
15320,77af7c6e42549e58f42977d5be538d0d,ac8ead6d720eaa6c547bb93c6044b285,moveis_decoracao,887.00,110.88,0.00,776.12,2018-03-07 16:27:00.0000000,2018-03-07,2018-03-01,SP
16155,7e05645577366863a93350aac5cc7de5,54d4f4a90b9907d07136e40d31d92ab0,brinquedos,24.90,3.24,0.00,21.66,2017-03-22 17:25:00.0000000,2017-03-22,2017-03-01,SP
10672,5342acb7b183acec77f59e4d78f7c804,8209695ad737d7180eee4aa7f734f579,livros_tecnicos,69.90,8.39,0.00,61.51,2018-03-29 20:53:00.0000000,2018-03-29,2018-03-01,SP
10213,4f7e398a1ddb1c349465b42b6865c60b,d140e9c5f63339fe27f7ee4d48c383e0,moveis_decoracao,59.90,7.49,0.00,52.41,2017-06-02 14:00:00.0000000,2017-06-02,2017-06-01,SP
24824,c158e9806f85a33877bdfd4f607b72e7,7a9ed721a4d9c05cf7edd8f12acbb85c,automotivo,40.00,4.80,0.00,35.20,2017-04-14 22:06:00.0000000,2017-04-14,2017-04-01,SP
11540,5a63a60ea2852393994270157cd61e0a,62efb2cde9269a637ebc6d2c0e02edfb,beleza_saude,49.90,5.99,0.00,43.91,2017-08-10 19:47:00.0000000,2017-08-10,2017-08-01,SP
22653,b0ff8ff92f8d916fa2e8005cd8e1a135,d9cb2ed0c6d5ccdd1da7ae9e8cad120c,utilidades_domesticas,109.99,13.20,0.00,96.79,2017-11-19 16:12:00.0000000,2017-11-19,2017-11-01,SP
22054,ac7a92560a9e99f0a0ab4988102f491b,cb9ed03b8602d8180e9de666d5cacb17,perfumaria,966.00,125.58,0.00,840.42,2018-03-04 15:58:00.0000000,2018-03-04,2018-03-01,SP
3278,197edbaa61a8a349f382553fd2180ee1,a64c80ae3742add8f6a968d49badf726,automotivo,15.99,1.92,0.00,14.07,2018-07-02 13:58:00.0000000,2018-07-02,2018-07-01,SP
28116,da8be3bb62e9bf01e2e1a3bfd74ebd1a,7686fe49c98ae1c537b5cc51992f5d20,bebes,79.90,10.39,0.00,69.51,2017-04-06 13:44:00.0000000,2017-04-06,2017-04-01,SP
23698,b8c38cf37cd17fd645f2e84101c8a679,9d6e01d4baea7a847db8d67e24e093bf,bebes,49.90,6.49,0.00,43.41,2017-08-28 22:47:00.0000000,2017-08-28,2017-08-01,SP
24850,c186ebe3937470a2f562a2dc0bc74dd7,db46052aed7dff59ba38cf2fe29b87f9,cama_mesa_banho,24.89,3.11,0.00,21.78,2017-11-27 13:33:00.0000000,2017-11-27,2017-11-01,SP
